GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1324794182,20160927,201609,2016,2016.7315,MED,MEDIA,,,,,,MED,,,,,,,,,,,,,1,084,084,08,2,7.0,10,1,10,-2.3936170212766,2,"Nevada, United States",US,USNV,,38.4199,-117.122,NV,0,,,,,,,,2,"Nevada, United States",US,USNV,,38.4199,-117.122,NV,20260925020000,https://news3lv.com/news/local/southern-nevada-weighs-switch-data-center-plan-in-north-las-vegas-nye-county-project-falters
1324794183,20250925,202509,2025,2025.7260,USA,LOS ANGELES,USA,,,,,,,,,,,,,,,,,,0,071,071,07,2,7.4,10,1,10,-3.89321468298109,3,"Los Angeles County, California, United States",US,USCA,CA037,34.3667,-118.201,277283,0,,,,,,,,3,"Los Angeles County, California, United States",US,USCA,,34.3667,-118.201,277283,20260925020000,https://www.latimes.com/california/story/2026-09-24/appeals-court-orders-trump-administration-to-distribute-homeless-funds
1324794184,20260925,202609,2026,2026.7260,,,,,,,,,,,AFR,AFRICA,AFR,,,,,,,,0,014,014,01,1,0.0,2,1,2,-7.0902394106814,0,,,,,,,,4,"Pretoria, Gauteng, South Africa",SF,SF06,77346,-25.7069,28.2294,-1273769,4,"Pretoria, Gauteng, South Africa",SF,SF06,77346,-25.7069,28.2294,-1273769,20260925020000,https://www.citizen.co.za/news/south-africa/afsa-blasts-lex-libertas-white-crosses-washington-over-sas-farm-murders/
1324794185,20260925,202609,2026,2026.7260,,,,,,,,,,,AFR,AFRICA,AFR,,,,,,,,0,014,014,01,1,0.0,2,1,2,-7.0902394106814,0,,,,,,,,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20260925020000,https://www.citizen.co.za/news/south-africa/afsa-blasts-lex-libertas-white-crosses-washington-over-sas-farm-murders/
1324794186,20260925,202609,2026,2026.7260,,,,,,,,,,,AFR,AFRICA,AFR,,,,,,,,0,042,042,04,1,1.9,2,1,2,-2.91363163371488,0,,,,,,,,1,Brazil,BR,BR,,-10,-55,BR,1,Nigeria,NI,NI,,10,8,NI,20260925020000,https://www.eurasiareview.com/25092026-cocaine-traffickers-target-senegal/
1324794187,20260925,202609,2026,2026.7260,,,,,,,,,,,AFR,AFRICA,AFR,,,,,,,,0,042,042,04,1,1.9,1,1,1,-2.91363163371488,0,,,,,,,,1,Nigeria,NI,NI,,10,8,NI,1,Nigeria,NI,NI,,10,8,NI,20260925020000,https://www.eurasiareview.com/25092026-cocaine-traffickers-target-senegal/
1324794188,20260925,202609,2026,2026.7260,,,,,,,,,,,AUS,AUSTRALIA,AUS,,,,,,,,0,013,013,01,1,0.4,4,1,4,4.58715596330275,0,,,,,,,,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,20260925020000,https://www.lawyersweekly.com.au/sme-law/45086-nrf-construction-trio-joins-hicksons-hunt-hunt-holman-webb
1324794189,20260925,202609,2026,2026.7260,,,,,,,,,,,AUS,AUSTRALIA,AUS,,,,,,,,1,042,042,04,1,1.9,8,1,4,-4.07166123778502,0,,,,,,,,4,"Hillcrest Primary School, South Australia, Australia",AS,AS05,5300,-34.866,138.639,11372185,4,"Hillcrest Primary School, South Australia, Australia",AS,AS05,5300,-34.866,138.639,11372185,20260925020000,https://www.examiner.com.au/story/9357249/assistant-commissioner-adrian-bodnar-cries-over-hillcrest-toll/
1324794190,20260925,202609,2026,2026.7260,,,,,,,,,,,AUS,AUSTRALIA,AUS,,,,,,,,0,043,043,04,1,2.8,4,1,4,-4.07166123778502,0,,,,,,,,4,"Devonport, Tasmania, Australia",AS,AS06,5344,-41.1769,146.352,-1569696,4,"Devonport, Tasmania, Australia",AS,AS06,5344,-41.1769,146.352,-1569696,20260925020000,https://www.examiner.com.au/story/9357249/assistant-commissioner-adrian-bodnar-cries-over-hillcrest-toll/
1324794191,20260925,202609,2026,2026.7260,,,,,,,,,,,AUS,AUSTRALIA,AUS,,,,,,,,0,043,043,04,1,2.8,4,1,4,-4.07166123778502,0,,,,,,,,4,"Devonport, Tasmania, Australia",AS,AS06,5344,-41.1769,146.352,-1569696,4,"Hillcrest Primary School, South Australia, Australia",AS,AS05,5300,-34.866,138.639,11372185,20260925020000,https://www.examiner.com.au/story/9357249/assistant-commissioner-adrian-bodnar-cries-over-hillcrest-toll/
