GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1297423539,20250403,202504,2025,2025.2548,,,,,,,,,,,CVL,CONSTITUENT,,,,,,CVL,,,1,1014,101,10,3,-5.0,3,1,3,0.282220131702729,0,,,,,,,,2,"Massachusetts, United States",US,USMA,,42.2373,-71.5314,MA,2,"Massachusetts, United States",US,USMA,,42.2373,-71.5314,MA,20260403000000,http://chelsearecord.com/2026/04/02/massachusetts-house-passes-the-protect-act/
1297423540,20250403,202504,2025,2025.2548,CHN,BEIJING,CHN,,,,,,,,PAN,PANAMA,PAN,,,,,,,,1,112,112,11,3,-2.0,16,2,16,-3.33333333333333,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Panama Canal, Panama (general), Panama",PM,PM00,93681,9.33333,-79.9167,-168010,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20260403000000,https://mynorthwest.com/national/rubio-accuses-china-of-bullying-for-holding-up-panama-flagged-ships-after-canal-clash/4224305
1297423541,20250403,202504,2025,2025.2548,CHN,BEIJING,CHN,,,,,,,,PAN,PANAMA,PAN,,,,,,,,1,112,112,11,3,-2.0,1,1,1,-2.60521042084168,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20260403000000,https://www.courant.com/2026/04/02/rubio-china-panama-bullying/
1297423542,20250403,202504,2025,2025.2548,CHN,BEIJING,CHN,,,,,,,,PAN,PANAMA,PAN,,,,,,,,1,112,112,11,3,-2.0,7,1,7,-2.60521042084168,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,1,Panama,PM,PM,,9,-80,PM,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20260403000000,https://www.courant.com/2026/04/02/rubio-china-panama-bullying/
1297423543,20250403,202504,2025,2025.2548,CHN,CHINA,CHN,,,,,,,,PAN,PANAMA,PAN,,,,,,,,1,173,173,17,4,-5.0,12,2,12,-3.33333333333333,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Panama Canal, Panama (general), Panama",PM,PM00,93681,9.33333,-79.9167,-168010,4,"Panama Canal, Panama (general), Panama",PM,PM00,93681,9.33333,-79.9167,-168010,20260403000000,https://mynorthwest.com/national/rubio-accuses-china-of-bullying-for-holding-up-panama-flagged-ships-after-canal-clash/4224305
1297423544,20250403,202504,2025,2025.2548,CHN,CHINA,CHN,,,,,,,,PAN,PANAMA,PAN,,,,,,,,1,173,173,17,4,-5.0,5,1,5,-2.60521042084168,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,1,Panama,PM,PM,,9,-80,PM,1,Panama,PM,PM,,9,-80,PM,20260403000000,https://www.courant.com/2026/04/02/rubio-china-panama-bullying/
1297423545,20250403,202504,2025,2025.2548,CHN,CHINA,CHN,,,,,,,,PAN,PANAMA,PAN,,,,,,,,1,173,173,17,4,-5.0,4,2,4,-3.33333333333333,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,4,"Panama Canal, Panama (general), Panama",PM,PM00,93681,9.33333,-79.9167,-168010,4,"Panama Canal, Panama (general), Panama",PM,PM00,93681,9.33333,-79.9167,-168010,20260403000000,https://mynorthwest.com/national/rubio-accuses-china-of-bullying-for-holding-up-panama-flagged-ships-after-canal-clash/4224305
1297423546,20250403,202504,2025,2025.2548,CHN,CHINA,CHN,,,,,,,,PAN,PANAMA,PAN,,,,,,,,1,173,173,17,4,-5.0,1,1,1,-2.60521042084168,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20260403000000,https://www.courant.com/2026/04/02/rubio-china-panama-bullying/
1297423547,20250403,202504,2025,2025.2548,CHN,CHINA,CHN,,,,,,,,PAN,PANAMA,PAN,,,,,,,,1,173,173,17,4,-5.0,2,1,2,-2.60521042084168,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,1,Panama,PM,PM,,9,-80,PM,1,Panama,PM,PM,,9,-80,PM,20260403000000,https://www.courant.com/2026/04/02/rubio-china-panama-bullying/
1297423548,20250403,202504,2025,2025.2548,CVL,RESIDENTS,,,,,,CVL,,,USA,MISSOURI,USA,,,,,,,,1,071,071,07,2,7.4,10,1,10,4.76190476190477,0,,,,,,,,0,,,,,,,,0,,,,,,,,20260403000000,"http://www.kirksvilledailyexpress.com/stories/drone-survey-for-safety-study-of-north-green-street-happening-next-week,30214"
