GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1310472401,20160626,201606,2016,2016.4822,GOV,DIRECTOR GENERAL,,,,,,GOV,,,,,,,,,,,,,0,010,010,01,1,0.0,10,1,10,5.5,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,0,,,,,,,,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20260624013000,https://tradearabia.com:443/News/464032/Global-utilities-unite-to-tackle-clean-energy-supply-chain-bottlenecks/OGN
1310472402,20250624,202506,2025,2025.4767,,,,,,,,,,,bre,BRETON,,,bre,,,,,,1,013,013,01,1,0.4,5,1,5,-1.81451612903226,0,,,,,,,,0,,,,,,,,0,,,,,,,,20260624013000,https://www.cbc.ca/news/canada/calgary/cbe-aging-schools-9.7246431
1310472403,20250624,202506,2025,2025.4767,BUS,BANK,,,,,,BUS,,,GOV,GOVERNMENT,,,,,,GOV,,,1,010,010,01,1,0.0,10,1,10,-1.63265306122449,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,20260624013000,https://www.cbc.ca/news/canada/toronto/seva-food-bank-report-food-insecurity-9.7246609
1310472404,20250624,202506,2025,2025.4767,BUS,BANK,,,,,,BUS,,,GOV,GOVERNMENT,,,,,,GOV,,,1,020,020,02,1,3.0,10,1,10,-1.63265306122449,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,20260624013000,https://www.cbc.ca/news/canada/toronto/seva-food-bank-report-food-insecurity-9.7246609
1310472405,20250624,202506,2025,2025.4767,CYM,CAYMAN ISLAND,CYM,,,,,,,,,,,,,,,,,,1,020,020,02,1,3.0,4,1,4,-4.32098765432098,1,Cayman Islands,CJ,CJ,,19.5,-80.666667,CJ,0,,,,,,,,1,Cayman Islands,CJ,CJ,,19.5,-80.666667,CJ,20260624013000,https://caymannewsservice.com/2026/06/235-cop-complaints-made-but-no-officers-fired/
1310472406,20250624,202506,2025,2025.4767,GOV,GOVERNMENT,,,,,,GOV,,,,,,,,,,,,,0,071,071,07,2,7.4,5,1,5,-0.16722408026756,0,,,,,,,,0,,,,,,,,0,,,,,,,,20260624013000,https://www.dorsetecho.co.uk/news/26220184.lifeline-dorset-fire-stations-crunch-vote-looms/
1310472407,20250624,202506,2025,2025.4767,GOV,CHIEF MINISTER,,,,,,GOV,,,,,,,,,,,,,1,071,071,07,2,7.4,10,1,10,-2.05479452054794,4,"Peshawar, North-West Frontier, Pakistan",PK,PK03,40347,34.0078,71.5733,-2771364,0,,,,,,,,4,"Peshawar, North-West Frontier, Pakistan",PK,PK03,40347,34.0078,71.5733,-2771364,20260624013000,https://tribune.com.pk/story/2614798/k-p-cms-discretionary-funds-cut
1310472408,20260525,202605,2026,2026.3973,AUS,AUSTRALIAN,AUS,,,,,,,,GOV,REGULATOR,,,,,,GOV,,,1,084,084,08,2,7.0,8,1,8,-0.34246575342465,1,Australia,AS,AS,,-25,135,AS,1,Australia,AS,AS,,-25,135,AS,1,Australia,AS,AS,,-25,135,AS,20260624013000,https://www.abc.net.au/news/2026-06-24/origin-named-and-shamed-over-electricity-prices/106834946
1310472409,20260525,202605,2026,2026.3973,PHL,PHILIPPINE,PHL,,,,,,,,,,,,,,,,,,0,0311,031,03,1,5.2,2,1,2,-3.25203252032521,4,"Manila, Manila, Philippines",RP,RPD9,24210,14.6042,120.982,-2437894,0,,,,,,,,4,"Manila, Manila, Philippines",RP,RPD9,24210,14.6042,120.982,-2437894,20260624013000,https://www.manilatimes.net/2026/06/24/business/top-business/fewer-swedish-firms-optimistic-about-ph-poll/2371540
1310472410,20260525,202605,2026,2026.3973,SWE,SWEDEN,SWE,,,,,,,,PHL,PHILIPPINE,PHL,,,,,,,,0,0311,031,03,1,5.2,2,1,2,-3.25203252032521,4,"Manila, Manila, Philippines",RP,RPD9,24210,14.6042,120.982,-2437894,4,"Manila, Manila, Philippines",RP,RPD9,24210,14.6042,120.982,-2437894,4,"Manila, Manila, Philippines",RP,RPD9,24210,14.6042,120.982,-2437894,20260624013000,https://www.manilatimes.net/2026/06/24/business/top-business/fewer-swedish-firms-optimistic-about-ph-poll/2371540
