GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1322293622,20160912,201609,2016,2016.6904,,,,,,,,,,,MED,WEBSITE,,,,,,MED,,,0,036,036,03,1,4.0,10,1,10,1.89274447949527,0,,,,,,,,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,20260910000000,https://www.geelongadvertiser.com.au/entertainment/music/spice-girls-mysterious-teaser-sends-fans-wild-but-heres-the-truth/news-story/d73c02529e0d5794ae2611f49542df64?nk=7733634dafca5e6d73397f6592096054-1788997622
1322293623,20160912,201609,2016,2016.6904,USA,NEW HAMPSHIRE,USA,,,,,,,,,,,,,,,,,,0,020,020,02,1,3.0,10,1,10,3.28542094455852,2,"New Hampshire, United States",US,USNH,,43.4108,-71.5653,NH,0,,,,,,,,2,"New Hampshire, United States",US,USNH,,43.4108,-71.5653,NH,20260910000000,https://www.unionleader.com/news/politics/voters/like-her-mom-stefany-shaheen-wins-primary-to-federal-office/article_8be80854-9f34-4892-bf01-abb32e82c93e.html
1322293624,20250910,202509,2025,2025.6849,,,,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,173,173,17,4,-5.0,4,1,4,-2.94117647058823,0,,,,,,,,2,"Kentucky, United States",US,USKY,,37.669,-84.6514,KY,3,"Albert Lea, Minnesota, United States",US,USMN,,43.648,-93.3683,639247,20260910000000,https://newrepublic.com/post/215219/trump-plan-change-us-census-reshaping-congress
1322293625,20250910,202509,2025,2025.6849,CAN,CANADA,CAN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,042,042,04,1,1.9,10,1,10,-4.40251572327044,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,2,"Maine, United States",US,USME,,44.6074,-69.3977,ME,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,20260910000000,https://japantoday.com/category/business/how-hot-can-the-us-canada-trade-war-get
1322293626,20250910,202509,2025,2025.6849,CAN,CANADA,CAN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,061,061,06,2,6.4,2,1,2,-4.40251572327044,4,"Ottawa, Ontario, Canada",CA,CA08,12755,45.4167,-75.7,-570760,4,"Ottawa, Ontario, Canada",CA,CA08,12755,45.4167,-75.7,-570760,4,"Ottawa, Ontario, Canada",CA,CA08,12755,45.4167,-75.7,-570760,20260910000000,https://japantoday.com/category/business/how-hot-can-the-us-canada-trade-war-get
1322293627,20250910,202509,2025,2025.6849,CAN,CANADA,CAN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,061,061,06,2,6.4,2,1,2,-4.40251572327044,4,"Ottawa, Ontario, Canada",CA,CA08,12755,45.4167,-75.7,-570760,2,"Kansas, United States",US,USKS,,38.5111,-96.8005,KS,2,"Maine, United States",US,USME,,44.6074,-69.3977,ME,20260910000000,https://japantoday.com/category/business/how-hot-can-the-us-canada-trade-war-get
1322293628,20250910,202509,2025,2025.6849,CAN,CANADA,CAN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,061,061,06,2,6.4,6,1,6,-4.40251572327044,2,"Kansas, United States",US,USKS,,38.5111,-96.8005,KS,4,"Ottawa, Ontario, Canada",CA,CA08,12755,45.4167,-75.7,-570760,4,"Ottawa, Ontario, Canada",CA,CA08,12755,45.4167,-75.7,-570760,20260910000000,https://japantoday.com/category/business/how-hot-can-the-us-canada-trade-war-get
1322293629,20250910,202509,2025,2025.6849,MCOELI,ALBERT,MCO,,,,,ELI,,,USA,KENTUCKY,USA,,,,,,,,0,173,173,17,4,-5.0,4,1,4,-2.94117647058823,3,"Albert Lea, Minnesota, United States",US,USMN,MN047,43.648,-93.3683,639247,2,"Kentucky, United States",US,USKY,,37.669,-84.6514,KY,3,"Albert Lea, Minnesota, United States",US,USMN,,43.648,-93.3683,639247,20260910000000,https://newrepublic.com/post/215219/trump-plan-change-us-census-reshaping-congress
1322293630,20250910,202509,2025,2025.6849,MCOELI,ALBERT,MCO,,,,,ELI,,,USA,UNITED STATES,USA,,,,,,,,0,173,173,17,4,-5.0,2,1,2,-2.94117647058823,3,"Albert Lea, Minnesota, United States",US,USMN,MN047,43.648,-93.3683,639247,2,"Minnesota, United States",US,USMN,,45.7326,-93.9196,MN,3,"Albert Lea, Minnesota, United States",US,USMN,,43.648,-93.3683,639247,20260910000000,https://newrepublic.com/post/215219/trump-plan-change-us-census-reshaping-congress
1322293631,20250910,202509,2025,2025.6849,USA,UNITED STATES,USA,,,,,,,,CAN,CANADA,CAN,,,,,,,,1,043,043,04,1,2.8,10,1,10,-4.40251572327044,2,"Maine, United States",US,USME,,44.6074,-69.3977,ME,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,20260910000000,https://japantoday.com/category/business/how-hot-can-the-us-canada-trade-war-get
