GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1312924537,20250710,202507,2025,2025.5205,EDU,STUDENT,,,,,,EDU,,,IDN,INDONESIA,IDN,,,,,,,,1,193,193,19,4,-10.0,4,1,4,-7.11382113821138,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,18585,-6.17444,106.829,-2679652,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,18585,-6.17444,106.829,-2679652,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,18585,-6.17444,106.829,-2679652,20260710013000,https://en.tempo.co/read/2112877/charlie-kirk-murder-suspect-regretted-act-roommate-says
1312924538,20250710,202507,2025,2025.5205,JUD,LAWYER,,,,,,JUD,,,CAN,CANADA,CAN,,,,,,,,0,012,012,01,1,-0.4,4,1,4,-5.00834724540901,1,Canada,CA,CA,,60,-96,CA,1,Canada,CA,CA,,60,-96,CA,1,Canada,CA,CA,,60,-96,CA,20260710013000,https://www.standard.net.au/story/9307098/kiara-austin-hamilton-woman-on-bond-after-jail-for-train-kick/
1312924539,20250710,202507,2025,2025.5205,JUD,LAWYER,,,,,,JUD,,,USA,AUSTIN,USA,,,,,,,,0,012,012,01,1,-0.4,6,1,6,-5.00834724540901,1,Canada,CA,CA,,60,-96,CA,1,Canada,CA,CA,,60,-96,CA,1,Canada,CA,CA,,60,-96,CA,20260710013000,https://www.standard.net.au/story/9307098/kiara-austin-hamilton-woman-on-bond-after-jail-for-train-kick/
1312924540,20250710,202507,2025,2025.5205,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,193,193,19,4,-10.0,4,2,4,-12.3191568969818,3,"Jackson County, Kansas, United States",US,USKS,KS085,39.4,-95.8336,485007,0,,,,,,,,2,"Kansas, United States",US,USKS,,38.5111,-96.8005,KS,20260710013000,https://hayspost.com/posts/0d60b492-a3ae-4540-8c33-5e313045c4eb
1312924541,20250710,202507,2025,2025.5205,USA,ARIZONA,USA,,,,,,,,CVL,VOTER,,,,,,CVL,,,0,080,080,08,2,5.0,5,1,5,0.29585798816568,2,"Arizona, United States",US,USAZ,,33.7712,-111.388,AZ,2,"Arizona, United States",US,USAZ,,33.7712,-111.388,AZ,2,"Arizona, United States",US,USAZ,,33.7712,-111.388,AZ,20260710013000,https://www.kjzz.org/politics/2026-07-09/doj-sends-election-monitors-to-arizona-it-suggests-there-have-been-security-issues
1312924542,20250710,202507,2025,2025.5205,USA,ARIZONA,USA,,,,,,,,JUD,FEDERAL JUDGE,,,,,,JUD,,,0,010,010,01,1,0.0,3,1,3,0.29585798816568,2,"Arizona, United States",US,USAZ,,33.7712,-111.388,AZ,2,"Arizona, United States",US,USAZ,,33.7712,-111.388,AZ,2,"Arizona, United States",US,USAZ,,33.7712,-111.388,AZ,20260710013000,https://www.kjzz.org/politics/2026-07-09/doj-sends-election-monitors-to-arizona-it-suggests-there-have-been-security-issues
1312924543,20250710,202507,2025,2025.5205,USA,ARIZONA,USA,,,,,,,,JUD,FEDERAL JUDGE,,,,,,JUD,,,0,051,051,05,1,3.4,3,1,3,0.29585798816568,2,"Arizona, United States",US,USAZ,,33.7712,-111.388,AZ,2,"Arizona, United States",US,USAZ,,33.7712,-111.388,AZ,2,"Arizona, United States",US,USAZ,,33.7712,-111.388,AZ,20260710013000,https://www.kjzz.org/politics/2026-07-09/doj-sends-election-monitors-to-arizona-it-suggests-there-have-been-security-issues
1312924544,20260610,202606,2026,2026.4384,,,,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,043,043,04,1,2.8,2,1,2,0.9771986970684,0,,,,,,,,3,"Englewood, Colorado, United States",US,USCO,CO005,39.6478,-104.988,204715,3,"Englewood, Colorado, United States",US,USCO,CO005,39.6478,-104.988,204715,20260710013000,https://www.summitdaily.com/news/nonprofit-knitting-and-crochet-group-builds-tight-knit-community-while-supporting-patients-and-families/
1312924545,20260610,202606,2026,2026.4384,ELI,ACTOR,,,,,,ELI,,,,,,,,,,,,,1,040,040,04,1,1.0,10,1,10,1.32978723404255,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,0,,,,,,,,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20260710013000,https://www.comingsoon.net/movies/news/2160313-rumored-dcu-batman-actor-finally-responds-to-viral-casting-buzz
1312924546,20260610,202606,2026,2026.4384,JUD,COURT JUDGE,,,,,,JUD,,,,,,,,,,,,,1,173,173,17,4,-5.0,20,2,20,-12.3191568969818,2,"Kansas, United States",US,USKS,,38.5111,-96.8005,KS,0,,,,,,,,2,"Kansas, United States",US,USKS,,38.5111,-96.8005,KS,20260710013000,https://hayspost.com/posts/0d60b492-a3ae-4540-8c33-5e313045c4eb
