GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1290400559,20260123,202601,2026,2026.0630,CHL,CHILE,CHL,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,017,017,01,1,0.0,4,1,4,-1.71428571428572,1,Chile,CI,CI,,-30,-71,CI,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,20260222051500,https://gcaptain.com/us-revokes-chile-visas-china-undersea-cable/
1290400560,20260215,202602,2026,2026.1233,CANGOV,CANADA,CAN,,,,,GOV,,,COP,POLICE OFFICER,,,,,,COP,,,0,020,020,02,1,3.0,1,1,1,-1.58898305084746,4,"Cloverdale, British Columbia, Canada",CA,CA02,12552,49.1,-122.733,-562755,4,"Cloverdale, British Columbia, Canada",CA,CA02,12552,49.1,-122.733,-562755,4,"Cloverdale, British Columbia, Canada",CA,CA02,12552,49.1,-122.733,-562755,20260222051500,https://www.cbc.ca/news/canada/british-columbia/surreys-police-budget-2026-47-million-underspending-9.7100066
1290400561,20260215,202602,2026,2026.1233,GOV,MAYOR,,,,,,GOV,,,COP,POLICE OFFICER,,,,,,COP,,,0,020,020,02,1,3.0,4,1,4,-1.58898305084746,4,"Cloverdale, British Columbia, Canada",CA,CA02,12552,49.1,-122.733,-562755,4,"Cloverdale, British Columbia, Canada",CA,CA02,12552,49.1,-122.733,-562755,4,"Cloverdale, British Columbia, Canada",CA,CA02,12552,49.1,-122.733,-562755,20260222051500,https://www.cbc.ca/news/canada/british-columbia/surreys-police-budget-2026-47-million-underspending-9.7100066
1290400562,20260221,202602,2026,2026.1397,LAB,WORKER,,,,,,LAB,,,LEG,CONGRESS,,,,,,LEG,,,0,111,111,11,3,-2.0,8,1,8,-8.62944162436548,4,"Puducherry, Pondicherry, India",IN,IN22,70228,11.93,79.83,-2108165,4,"Puducherry, Pondicherry, India",IN,IN22,70228,11.93,79.83,-2108165,4,"Puducherry, Pondicherry, India",IN,IN22,70228,11.93,79.83,-2108165,20260222051500,https://kashmirreader.com/2026/02/22/india-ai-summits-impact-bjp-congress-clash-across-country/
1290400563,20260221,202602,2026,2026.1397,LAB,WORKER,,,,,,LAB,,,LEG,CONGRESS,,,,,,LEG,,,0,111,111,11,3,-2.0,2,1,2,-8.62944162436548,1,United States,US,US,,39.828175,-98.5795,US,4,"Puducherry, Pondicherry, India",IN,IN22,70228,11.93,79.83,-2108165,1,United States,US,US,,39.828175,-98.5795,US,20260222051500,https://kashmirreader.com/2026/02/22/india-ai-summits-impact-bjp-congress-clash-across-country/
1290400564,20260221,202602,2026,2026.1397,LAB,WORKER,,,,,,LAB,,,LEG,CONGRESS,,,,,,LEG,,,0,141,141,14,3,-6.5,10,1,10,-8.62944162436548,4,"Puducherry, Pondicherry, India",IN,IN22,70228,11.93,79.83,-2108165,4,"Puducherry, Pondicherry, India",IN,IN22,70228,11.93,79.83,-2108165,4,"Puducherry, Pondicherry, India",IN,IN22,70228,11.93,79.83,-2108165,20260222051500,https://kashmirreader.com/2026/02/22/india-ai-summits-impact-bjp-congress-clash-across-country/
1290400565,20260222,202602,2026,2026.1425,,,,,,,,,,,AUS,AUSTRALIA,AUS,,,,,,,,1,130,130,13,3,-4.4,2,1,2,0.61162079510703,0,,,,,,,,4,"Interlaken, Tasmania, Australia",AS,AS06,5349,-42.15,147.183,-1579533,4,"Interlaken, Tasmania, Australia",AS,AS06,5349,-42.15,147.183,-1579533,20260222051500,https://www.examiner.com.au/story/9180305/tasmania-fire-warning-issued-for-woods-lake-area/
1290400566,20260222,202602,2026,2026.1425,,,,,,,,,,,BUS,INDUSTRY,,,,,,BUS,,,1,010,010,01,1,0.0,1,1,1,-0.40241448692153,0,,,,,,,,4,"Accra, Greater Accra, Ghana",GH,GH01,190655,5.55,-0.216667,-2067935,4,"Accra, Greater Accra, Ghana",GH,GH01,190655,5.55,-0.216667,-2067935,20260222051500,http://www.businessghana.com/site/news/business/343823/AAG-raises-concern-over-outdoor-advertising-clutter
1290400567,20260222,202602,2026,2026.1425,,,,,,,,,,,BUS,INDUSTRY,,,,,,BUS,,,1,010,010,01,1,0.0,1,1,1,-0.40241448692153,0,,,,,,,,4,"Kumasi, Ashanti, Ghana",GH,GH02,190720,6.68333,-1.61667,-2075172,4,"Accra, Greater Accra, Ghana",GH,GH01,190655,5.55,-0.216667,-2067935,20260222051500,http://www.businessghana.com/site/news/business/343823/AAG-raises-concern-over-outdoor-advertising-clutter
1290400568,20260222,202602,2026,2026.1425,,,,,,,,,,,BUS,INDUSTRY,,,,,,BUS,,,1,010,010,01,1,0.0,3,1,3,-0.40241448692153,0,,,,,,,,4,"Kumasi, Ashanti, Ghana",GH,GH02,190720,6.68333,-1.61667,-2075172,4,"Kumasi, Ashanti, Ghana",GH,GH02,190720,6.68333,-1.61667,-2075172,20260222051500,http://www.businessghana.com/site/news/business/343823/AAG-raises-concern-over-outdoor-advertising-clutter
1290400569,20260222,202602,2026,2026.1425,,,,,,,,,,,BUS,COMPANIES,,,,,,BUS,,,1,036,036,03,1,4.0,10,1,10,-7.76892430278885,0,,,,,,,,3,"San Diego, California, United States",US,USCA,,32.7153,-117.157,1661377,3,"San Diego, California, United States",US,USCA,,32.7153,-117.157,1661377,20260222051500,https://www.cbs8.com/article/news/local/san-diego-finalizes-63m-settlement-insurers-flood-victims-wait/509-ffaa9f95-89fa-4d78-8c2e-d4e03e61d2b2
