GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1319510605,20260816,202608,2026,2026.6192,CVL,CITIZEN,,,,,,CVL,,,GOV,GOVERNMENT,,,,,,GOV,,,1,100,100,10,3,-5.0,8,1,8,-5.97014925373134,4,"Ogoja, Cross River, Nigeria",NI,NI22,191286,6.65471,8.79764,-2022168,4,"Ogoja, Cross River, Nigeria",NI,NI22,191286,6.65471,8.79764,-2022168,4,"Ogoja, Cross River, Nigeria",NI,NI22,191286,6.65471,8.79764,-2022168,20260823014500,https://www.vanguardngr.com/2026/08/cross-river-who-is-bullying-who-by-tonnie-iredia/
1319510606,20260816,202608,2026,2026.6192,MED,COMMENTATOR,,,,,,MED,,,GOV,GOVERNMENT,,,,,,GOV,,,1,100,100,10,3,-5.0,1,1,1,-5.97014925373134,4,"Ogoja, Cross River, Nigeria",NI,NI22,191286,6.65471,8.79764,-2022168,4,"Ogoja, Cross River, Nigeria",NI,NI22,191286,6.65471,8.79764,-2022168,4,"Ogoja, Cross River, Nigeria",NI,NI22,191286,6.65471,8.79764,-2022168,20260823014500,https://www.vanguardngr.com/2026/08/cross-river-who-is-bullying-who-by-tonnie-iredia/
1319510607,20260816,202608,2026,2026.6192,NGACVL,NIGERIA,NGA,,,,,CVL,,,GOV,GOVERNMENT,,,,,,GOV,,,1,100,100,10,3,-5.0,1,1,1,-5.97014925373134,4,"Ogoja, Cross River, Nigeria",NI,NI22,191286,6.65471,8.79764,-2022168,4,"Ogoja, Cross River, Nigeria",NI,NI22,191286,6.65471,8.79764,-2022168,4,"Ogoja, Cross River, Nigeria",NI,NI22,191286,6.65471,8.79764,-2022168,20260823014500,https://www.vanguardngr.com/2026/08/cross-river-who-is-bullying-who-by-tonnie-iredia/
1319510608,20260823,202608,2026,2026.6384,,,,,,,,,,,BUS,INDUSTRY,,,,,,BUS,,,0,045,045,04,1,5.0,5,1,5,-1.2539184952978,0,,,,,,,,4,"Telangana, Andhra Pradesh, India",IN,IN02,17568,18,79.5,-2112824,4,"Telangana, Andhra Pradesh, India",IN,IN02,17568,18,79.5,-2112824,20260823014500,https://www.deccanchronicle.com/southern-states/telangana/pharma-units-must-move-beyond-compliance-to-prevent-fires-fsai-1981458
1319510609,20260823,202608,2026,2026.6384,,,,,,,,,,,BUS,COMPANY,,,,,,BUS,,,0,060,060,06,2,6.0,6,1,6,-0.0669792364366999,0,,,,,,,,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20260823014500,https://www.thestar.com.my/tech/tech-news/2026/08/23/what-are-companies-getting-for-all-that-ai-spending
1319510610,20260823,202608,2026,2026.6384,,,,,,,,,,,BUS,COMPANY,,,,,,BUS,,,0,060,060,06,2,6.0,4,1,4,-0.0669792364366999,0,,,,,,,,1,United Kingdom,UK,UK,,54,-4,UK,1,United Kingdom,UK,UK,,54,-4,UK,20260823014500,https://www.thestar.com.my/tech/tech-news/2026/08/23/what-are-companies-getting-for-all-that-ai-spending
1319510611,20260823,202608,2026,2026.6384,,,,,,,,,,,CAN,CANADA,CAN,,,,,,,,1,013,013,01,1,0.4,4,1,4,-3.95738203957382,0,,,,,,,,4,"Kelowna, British Columbia, Canada",CA,CA02,12566,49.9,-119.483,-567125,4,"Kelowna, British Columbia, Canada",CA,CA02,12566,49.9,-119.483,-567125,20260823014500,https://www.castanetkamloops.net/news/Summerland/628890/Their-homes-destroyed-by-wildfire-B-C-residents-are-more-worried-about-missing-pets
1319510612,20260823,202608,2026,2026.6384,,,,,,,,,,,CAN,CANADA,CAN,,,,,,,,1,014,014,01,1,0.0,4,1,4,-3.95738203957382,0,,,,,,,,4,"Kelowna, British Columbia, Canada",CA,CA02,12566,49.9,-119.483,-567125,4,"Kelowna, British Columbia, Canada",CA,CA02,12566,49.9,-119.483,-567125,20260823014500,https://www.castanetkamloops.net/news/Summerland/628890/Their-homes-destroyed-by-wildfire-B-C-residents-are-more-worried-about-missing-pets
1319510613,20260823,202608,2026,2026.6384,,,,,,,,,,,CHN,CHINA,CHN,,,,,,,,0,010,010,01,1,0.0,2,1,2,1.23456790123457,0,,,,,,,,4,"Hangzhou, Zhejiang, China",CH,CH02,13319,30.2553,120.169,-1908366,4,"Hangzhou, Zhejiang, China",CH,CH02,13319,30.2553,120.169,-1908366,20260823014500,https://www.globaltimes.cn/page/202608/1368772.shtml
1319510614,20260823,202608,2026,2026.6384,,,,,,,,,,,CHN,CHINA,CHN,,,,,,,,0,036,036,03,1,4.0,2,1,2,1.23456790123457,0,,,,,,,,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20260823014500,https://www.globaltimes.cn/page/202608/1368772.shtml
